source,Description,price,Revenue,Cash Flow,EBITA
https://gottesman-company.com/active_sellers/s-3084-19-sbb/, Home Automation & Home Security Distribution Company  ,NA,12000000.0,NA,1200000.0
https://gottesman-company.com/active_sellers/s-1627-24-lb/, Multi-Disciplinary Civil Engineering Consulting Firm  ,NA,6000000.0,NA,2500000.0
https://gottesman-company.com/active_sellers/s-2986-2-dwf/, Energy O&G Measurement Equipment Manufacturer  ,NA,50000000.0,NA,9000000.0
https://gottesman-company.com/active_sellers/s-3084-18-sbb/, Window Manufacturer  ,NA,5800000.0,NA,2000000.0
https://gottesman-company.com/active_sellers/s-3084-17-sbb/, HVAC & Plumbing Repair/Replacement  ,NA,3700000.0,NA,1600000.0
https://gottesman-company.com/active_sellers/s-3259-2-awb/, IT Consulting / Government Contractor  ,NA,23000000.0,NA,4000000.0
https://gottesman-company.com/active_sellers/s-3035-4-lb/, Water & Wastewater Treatment Heavy Construction Contractor  ,NA,25000000.0,NA,950000.0
https://gottesman-company.com/active_sellers/s-3258-1-ts/," IT Company: Consulting, Software  ",NA,15200000.0,NA,3800000.0
https://gottesman-company.com/active_sellers/s-3257-2-mwc/, Medical Office Facility  ,NA,6400000.0,NA,3000000.0
https://gottesman-company.com/active_sellers/s-3256-1-ts/, Electrical Control Panel Manufacturer  ,NA,23000000.0,NA,3500000.0
https://gottesman-company.com/active_sellers/s-2937-51-tje/, Owner-Absentee Healthcare Equipment Manufacturing & Distributor  ,NA,8000000.0,NA,1100000.0
https://gottesman-company.com/active_sellers/s-2986-7-dwf/, Energy Services  ,NA,8400000.0,NA,2000000.0
https://gottesman-company.com/active_sellers/s-2432-35-dbn/, Full Service Frac Tank Rental  ,NA,3000000.0,NA,1400000.0
https://gottesman-company.com/active_sellers/s-2432-34-dbn/, Provider of Underground Utility Locating  ,NA,9700000.0,NA,1700000.0
https://gottesman-company.com/active_sellers/s-2432-33-dbn/, Oilfield Staffing Company  ,NA,47000000.0,NA,9000000.0
https://gottesman-company.com/active_sellers/s-3255-2-jhh/, Plumbing Company / Contractor  ,NA,7100000.0,NA,1700000.0
https://gottesman-company.com/active_sellers/s-3255-1-jhh/, Construction / Commercial Excavating  ,NA,30000000.0,NA,6700000.0
https://gottesman-company.com/active_sellers/s-2937-50-tje/, Clean Room Supplies  ,NA,4500000.0,NA,919000.0
https://gottesman-company.com/active_sellers/s-3253-1-awb/, Home Storage Retailer  ,NA,11500000.0,NA,1000000.0
https://gottesman-company.com/active_sellers/s-3252-1-dbn/, Cannabis Specializing General Contractor  ,NA,19200000.0,NA,2120000.0
https://gottesman-company.com/active_sellers/s-3232-9-sbb/, Mattress Manufacturer & Accessories  ,NA,43000000.0,NA,3700000.0
https://gottesman-company.com/active_sellers/s-3232-7-sbb/, Vitamin & Supplement Brand  ,NA,31500000.0,NA,10800000.0
https://gottesman-company.com/active_sellers/s-3232-3-sbb/, Branded Floral Supply Company  ,NA,23000000.0,NA,5800000.0
https://gottesman-company.com/active_sellers/s-3159-1-pls/, Petroleum Equipment Contractor  ,NA,9800000.0,NA,1200000.0
https://gottesman-company.com/active_sellers/s-3119-6-jml/, Third Party Logistics (3PL) Company  ,NA,8800000.0,NA,1100000.0
https://gottesman-company.com/active_sellers/s-3092-6-aho/, Unified Communication Software Company  ,NA,3200000.0,NA,1900000.0
https://gottesman-company.com/active_sellers/s-3117-15-dwf/, Glass Glazing Contractor  ,NA,14500000.0,NA,1700000.0
https://gottesman-company.com/active_sellers/s-3092-5-aho/, Software & Hardware Transportation System  ,NA,12100000.0,NA,3300000.0
https://gottesman-company.com/active_sellers/s-3084-12-sbb/, Trailer Sales  ,NA,24000000.0,NA,3800000.0
https://gottesman-company.com/active_sellers/s-3084-11-sbb/, Gym and Nutritional Supplement Franchise  ,NA,5000000.0,NA,1300000.0
https://gottesman-company.com/active_sellers/s-3084-10-sbb/, IT Healthcare Staffing Agency  ,NA,9000000.0,NA,900000.0
https://gottesman-company.com/active_sellers/s-2737-49-tje/, Tractor Trailer Sales & Service  ,NA,17700000.0,NA,2100000.0
https://gottesman-company.com/active_sellers/s-2882-25-cam/, Federally Focused Solution Provider & VAR  ,NA,29000000.0,NA,1500000.0
https://gottesman-company.com/active_sellers/s-2672-3-sl/, Electrical Business: Commercial & Residential  ,NA,4730000.0,NA,764000.0
https://gottesman-company.com/active_sellers/s-233-18-aho/, Building Materials and Lumber  ,NA,5700000.0,NA,1100000.0
https://gottesman-company.com/active_sellers/s-233-16-aho/, Lumber and Building Materials  ,NA,17000000.0,NA,2300000.0
https://gottesman-company.com/active_sellers/s-1885-mhs-mjk/," Branded, High Performance Architectural Paints  ",NA,6670000.0,NA,1750000.0
https://gottesman-company.com/active_sellers/s-1854-mhs/, International Fashion Jewelry Wholesaler  ,NA,905000.0,NA,411000.0
https://gottesman-company.com/active_sellers/s-3117-5-dwf/, Commercial/Residential Flooring  ,NA,17000000.0,NA,1800000.0
https://gottesman-company.com/active_sellers/s-3027-8-jc/, Asset-Based Lender  ,NA,14300000.0,NA,4000000.0
https://gottesman-company.com/active_sellers/s-1627-17-lb/, Highway Infrastructure Construction Co.  ,NA,15000000.0,NA,1100000.0
https://gottesman-company.com/active_sellers/s-3232-11-sbb/, Electric Bike- Ecommerce Brand  ,NA,5200000.0,NA,1500000.0
https://gottesman-company.com/active_sellers/s-3188-9-can/, CBD & Cannabis  ,NA,40000000.0,NA,7000000.0
https://gottesman-company.com/active_sellers/s-3188-8-can/, Oil & Gas Equipment Sales/Rentals/Repair  ,NA,6600000.0,NA,3300000.0
https://gottesman-company.com/active_sellers/s-3084-16-sbb/, Heavy Duty Equipment Distributor  ,NA,8500000.0,NA,1700000.0
https://gottesman-company.com/active_sellers/s-3084-15-sbb/, Staffing Agency- IT & Life Science  ,NA,5200000.0,NA,1900000.0
https://gottesman-company.com/active_sellers/s-2937-48-tje/, Underground Utilities & Commercial Site Development  ,NA,20000000.0,NA,7000000.0
https://gottesman-company.com/active_sellers/s-2432-32-dbn/," Oilfield Well Recurring Services – Hot Oil, Water, Salt Water & Production Chemicals  ",NA,15000000.0,NA,5828000.0
https://gottesman-company.com/active_sellers/s-3242-1-rob/, Leading Right-Of-Way Services Provider  ,NA,26700000.0,NA,5500000.0
https://gottesman-company.com/active_sellers/s-3238-1-sl/, World Renowned Tech-Enabled  Transportation Company  ,NA,12200000.0,NA,3760000.0
https://gottesman-company.com/active_sellers/s-3209-1-lmh/, Market-Leading Foundries  ,NA,4900000.0,NA,750000.0
https://gottesman-company.com/active_sellers/s-3084-14-sbb/, French Bakery  ,NA,5800000.0,NA,2100000.0
https://gottesman-company.com/active_sellers/s-3084-13-sbb/, Masonry Construction/Restoration Business  ,NA,11300000.0,NA,2100000.0
https://gottesman-company.com/active_sellers/s-3080-1-bcs/, FDA-certified Vitamin & Supplement  Manufacturer & Online Retailer  ,NA,8500000.0,NA,1500000.0
https://gottesman-company.com/active_sellers/s-2990-4-ces/, Maintenance & Renovation Management  ,NA,35000000.0,NA,NA
https://gottesman-company.com/active_sellers/s-191-17-bah/, Major Home Remodeling Company  ,NA,41000000.0,NA,7400000.0
https://gottesman-company.com/active_sellers/s-3192-1-ts/, Manufacturer of Cookware  ,NA,9900000.0,NA,2200000.0
https://gottesman-company.com/active_sellers/s-3117-10-dfw-pam/, Wellsite Geology and Mudlogging  ,NA,8000000.0,NA,1800000.0
https://gottesman-company.com/active_sellers/s-3232-4-sbb/," Branded Apparel Company Women’s, Men’s, Kids and Dogs  ",NA,15700000.0,NA,2500000.0
https://gottesman-company.com/active_sellers/s-3084-9-sbb/, IT Healthcare Consulting Firm  ,NA,28500000.0,NA,5200000.0
https://www.charlottebusinessbrokers.com/Listings/Listing_detail.php?sn=236,Business for Sell in Charlotte Metro.,2200000,3066032,814848,NA
https://www.charlottebusinessbrokers.com/Listings/Listing_detail.php?sn=239,Business for Sell in Charlotte Metro.,2200000,3000000,659565,NA
https://www.charlottebusinessbrokers.com/Listings/Listing_detail.php?sn=208,Business for Sell in Charlotte Metro.,1100000,829604,270313,NA
https://www.charlottebusinessbrokers.com/Listings/Listing_detail.php?sn=80,Business for Sell in Charlotte Metro.,495000,747402,176383,NA
